Student Code,Centre Code,Name,Gender,Age,Date Of Birth,Mykid / Passport No.,Mother,Father,Guardian,Parent's Info,Country,State,Address,Race,Status,Start Date at Center,Form Serial No.,Birth Cert No.,Religion,Nationality,Medical Condition,Allergies,Remarks
MYQWESTC1C10231-0030,MYQWESTC1C10231,June Akesa,F,4,1/2/2018,a-Kenyan 02,,"Name: Amos copy link2
Email : amos@intechligence.com.my
Mobile : +600129318602
Occupation : Hospitality and Tourism

Name: amos wafula centre side
Email : amos@intechligence.com.my
Mobile : +600175751600
Occupation : Government

",,Malaysia,Selangor,"6-4 level 4, Jalan ss6/6, kelana jaya",Others,A,20/1/2021,,123,Christian,Malaysian,none,lactose intolerant,,
MYQWESTC1C10231-0054,MYQWESTC1C10231,Wafula jnr,M,5,20/2/2017,840823-01-1411,,"Name: Wafula qr 
Email : amoswaffles@gmail.com
Mobile : +600175751634
Occupation : Information Technology

",,Malaysia,Selangor,"6-4 level 4, Jalan ss6/6, kelana jaya",Chinese,A,8/2/2021,,A-kenyan,Christian,Malaysian,asmatic,lactose intolerant,,
MYQWESTC1C10231-0058,MYQWESTC1C10231,jemima wafula,F,6,11/3/2016,840823-01-1324,"Name: Liew Yee Ling
Email : adminapps@q-dees.com
Mobile : +600175751600
Occupation : Finance

","Name: wafula copylink
Email : amoswaffles@gmail.com
Mobile : +600175751623
Occupation : Human Services

",,Malaysia,Selangor,"6-4 level 4, Jalan ss6/6, kelana jaya",Malay,A,8/2/2021,,A-kenyan23,Christian,Malaysian,none,none,,
MYQWESTC1C10231-0076,MYQWESTC1C10231,Adeline liew,F,6,17/1/2016,8420823-01-9787,,"Name: Amos copy link2
Email : amos@intechligence.com.my
Mobile : +600129318602
Occupation : Hospitality and Tourism

",,Malaysia,Selangor,"6-4 level 4, Jalan ss6/6, kelana jaya",Chinese,A,9/2/2021,43211,FE43221,Christian,Malaysian,none,none,,
MYQWESTC1C10231-0097,MYQWESTC1C10231,Ethan waffles,M,4,16/10/2018,8420823-01-2345,,"Name: amos waffles2
Email : amoswaffles@gmail.com
Mobile : +600175751605
Occupation : Human Services

",,Malaysia,Selangor,USJ 19/1,Chinese,A,9/2/2021,,F23245,Christian,Malaysian,asthmatic ,lactose intolerant ,,
MYQWESTC1C10231-0113,MYQWESTC1C10231,Kesley yeo,F,4,14/10/2018,842823-01-2345,"Name: Esther yeo
Email : amosintech@gmail.com
Mobile : +600129318623
Occupation : Others

",,,Malaysia,Selangor,"6-4 level 4, Jalan ss6/6, kelana jaya",Chinese,A,11/2/2021,F2343,A2345,Buddhism,Malaysian,none,none,,
MYQWESTC1C10231-0122,MYQWESTC1C10231,Temerloh,F,6,20/2/2016,8.1022E+11,,,,Malaysia,Selangor,No 12 jalan merbah,Chinese,A,11/2/2021,,A34553,Christian,Malaysian,None,None,,
MYQWESTC1C10231-0126,MYQWESTC1C10231,Erica Chin Shin Yee,F,4,2/2/2018,10202011218,,,,Malaysia,Johor,"No 31, jln harmonium 22/12 taman desa tebrau",Chinese,A,10/2/2021,,Abc1283,Buddhism,Malaysian,No,No,,
MYQWESTC1C10231-0132,MYQWESTC1C10231,foochow,F,3,1/1/2019,8.40621E+11,,,,Malaysia,Sarawak,212 foochow road,Chinese,A,18/2/2021,,sk111111,Buddhism,Malaysian,good,nop,,
MYQWESTC1C10231-0133,MYQWESTC1C10231,Lucas,M,4,4/2/2018,1.80204E+11,,,,Malaysia,Sarawak,Kuching,Chinese,A,19/2/2021,,34567,Buddhism,Malaysian,None,None,,
MYQWESTC1C10231-0171,MYQWESTC1C10231,Nuh,M,9,30/5/2013,1.3053E+11,"Name: Ayu
Email : chentaizaq@yahoo.com
Mobile : +600168315473
Occupation : Education

",,,Malaysia,Sabah,Taman Tawau,Malay,A,26/2/2021,,Sb8765579,Islam,Malaysian,-,-,,
MYQWESTC1C10231-0173,MYQWESTC1C10231,Arisa Lee,F,2,1/1/2020,2.00102E+11,"Name: Lilo Lee
Email : lilol@gmail.com
Mobile : +60144830572
Occupation : Education

",,,Malaysia,Johor,PJ,Iban,A,3/1/2022,,75034-,Christian,Malaysian,-,-,,
